day1_temp,day1_humid,day1_windspd,day2_temp,day2_humid,day2_windspd,day3_temp,day3_humid,day3_windspd,day4_temp,day4_humid,day4_windspd,day5_temp,day5_humid,day5_windspd,y_day6_temp,y_change
16.6,0.52,6.0,16.2,0.58,3.6,15.7,0.66,1.9,15.7,0.67,3.4,14.3,0.8,2.1,17.6,1
15.7,0.51,3.9,12.6,0.72,3.4,12.8,0.76,2.6,12.7,0.73,3.1,17.5,0.47,3.1,15.2,0
14.7,0.68,3.4,13.6,0.77,4.8,13.8,0.73,3.8,14.7,0.76,3.3,17.0,0.65,3.1,16.0,0
16.3,0.67,4.3,13.9,0.81,2.6,17.0,0.84,3.1,20.0,0.82,1.9,18.5,0.65,4.5,15.6,0
17.2,0.64,2.2,17.9,0.67,2.1,19.0,0.7,3.1,19.2,0.58,2.2,19.8,0.61,2.1,18.5,0
17.7,0.78,2.9,19.3,0.76,2.2,18.0,0.79,3.9,17.4,0.84,5.1,17.2,0.8,1.4,14.6,0
16.7,0.58,2.8,16.7,0.75,2.2,17.0,0.52,2.9,18.0,0.78,3.1,20.8,0.72,2.2,22.2,1
21.2,0.67,3.3,24.0,0.53,3.3,21.3,0.57,4.5,19.9,0.55,2.9,20.7,0.56,1.6,21.7,1
21.0,0.56,1.9,21.0,0.65,1.2,20.3,0.61,1.9,19.9,0.61,1.5,20.4,0.56,2.4,19.4,0
18.5,0.84,2.1,20.7,0.69,1.7,21.0,0.66,1.7,21.1,0.59,2.1,19.9,0.72,1.0,21.6,1
21.9,0.61,1.9,21.2,0.59,2.4,19.1,0.7,1.7,21.5,0.62,1.4,21.1,0.55,1.0,21.4,1
21.7,0.55,1.7,21.1,0.62,2.2,20.4,0.62,1.2,18.3,0.8,2.9,18.7,0.58,1.7,17.4,0
17.5,0.61,3.4,17.1,0.67,3.8,15.9,0.56,2.2,16.4,0.71,3.4,17.7,0.63,2.2,18.3,1
16.1,0.79,3.9,16.2,0.75,2.4,14.7,0.85,2.1,17.4,0.81,2.1,18.5,0.74,0.7,18.4,0
16.6,0.65,1.7,17.3,0.71,1.0,18.4,0.66,1.4,15.0,0.47,5.0,10.5,0.62,1.3,14.7,1
14.2,0.74,1.9,12.9,0.58,2.9,10.3,0.64,1.5,9.2,0.75,2.6,9.2,0.79,2.1,7.4,0
6.3,0.76,1.7,11.5,0.73,1.5,8.5,0.59,2.4,7.0,0.61,2.2,7.2,0.76,1.0,10.7,1
12.7,0.65,2.1,12.0,0.84,2.0,9.7,0.72,1.9,10.0,0.79,1.0,11.2,0.8,1.3,8.5,0
5.9,0.81,2.7,4.0,0.7,2.7,3.3,0.62,3.9,3.8,0.63,3.9,4.1,0.67,2.7,4.1,0
3.1,0.61,3.1,3.1,0.73,3.9,2.9,0.7,5.7,2.9,0.77,5.8,1.9,0.81,6.7,1.7,0
0.5,0.73,4.9,-0.1,0.7,4.1,-1.8,0.73,2.1,-0.3,0.86,1.4,0.6,0.86,1.7,0.3,0
3.7,0.89,4.3,5.1,0.71,5.0,4.1,0.88,2.4,7.4,0.67,3.9,3.2,0.7,1.7,2.9,0
0.7,0.78,0.5,-1.0,0.76,0.8,2.1,0.8,0.7,1.6,0.67,3.8,-1.6,0.78,1.7,-3.2,0
-1.2,0.78,0.9,-5.5,0.88,1.4,1.7,0.91,3.3,4.5,0.88,2.2,2.5,0.85,2.1,0.7,0
-4.4,0.72,3.8,-7.2,0.79,2.4,-7.1,0.85,3.9,-4.5,0.82,6.4,-1.8,0.79,5.1,0.8,1
1.8,0.9,1.2,2.2,0.9,1.0,0.1,0.78,1.5,-2.0,0.67,4.3,-1.3,0.67,2.4,-0.8,1
-2.6,0.81,4.9,-1.2,0.8,5.3,-0.7,0.81,6.5,0.7,0.87,3.1,2.4,0.81,3.6,-3.4,0
-1.4,0.88,4.6,0.2,0.84,5.3,-3.8,0.8,5.8,-2.8,0.82,4.8,-2.0,0.82,4.8,0.6,1
-0.3,0.86,3.6,-1.4,0.82,3.8,-2.2,0.78,4.1,-3.8,0.79,3.4,-5.1,0.78,1.7,-9.4,0
-7.5,0.86,0.7,-9.6,0.9,0.8,-10.1,0.85,0.8,-6.1,0.87,0.0,-4.0,0.84,1.4,-4.2,0
-3.8,0.81,3.6,-8.6,0.81,1.7,-8.0,0.87,0.8,-5.6,0.93,0.7,-1.6,0.89,2.4,-8.5,0
-11.8,0.8,0.7,-9.4,0.81,2.6,-7.8,0.81,2.6,-4.8,0.83,1.6,-3.2,0.93,2.6,-3.2,0
-2.4,0.87,6.5,-5.2,0.77,6.5,-11.6,0.72,4.3,-16.1,0.84,1.2,-11.2,0.87,1.5,-9.8,1
-12.2,0.76,1.7,-17.0,0.79,0.7,-13.3,0.73,5.5,-14.6,0.8,1.0,-8.8,0.84,0.3,-9.6,0
-10.8,0.9,0.5,-7.5,0.86,1.9,-3.6,0.9,1.4,-1.7,0.9,1.2,-0.6,0.79,3.2,3.9,1
2.2,0.86,2.2,3.1,0.47,5.7,3.9,0.87,5.7,3.8,0.68,4.8,1.1,0.83,1.2,2.2,1
3.4,0.94,2.4,2.8,0.95,0.7,0.1,0.79,3.1,-3.1,0.86,2.6,3.0,0.96,3.1,1.1,0
0.1,0.91,1.3,-0.9,0.82,1.0,-3.1,0.72,2.6,-9.1,0.68,2.1,-12.3,0.74,1.2,-4.5,1
0.3,0.95,4.4,0.2,0.93,1.2,-0.4,0.88,3.6,-6.4,0.77,2.9,-10.2,0.82,1.5,-2.5,1
1.3,0.97,4.1,1.2,0.95,3.8,-0.7,0.9,3.4,-0.8,0.81,3.3,-0.9,0.87,0.7,-2.0,0
-3.7,0.81,0.5,-2.9,0.87,1.4,-3.7,0.86,1.3,-7.2,0.82,0.8,-3.5,0.81,1.2,-1.8,1
-0.4,0.69,1.6,-3.1,0.8,1.4,-1.1,0.83,1.2,-2.8,0.82,1.7,-4.1,0.79,1.4,-4.1,0
-1.5,0.72,2.4,-1.3,0.76,1.2,-6.6,0.94,1.0,-8.2,0.87,1.7,-5.0,0.83,1.4,-5.6,0
-3.6,0.78,2.4,-2.4,0.89,2.3,-0.5,0.85,2.9,0.8,0.92,2.8,0.9,0.94,1.2,0.6,0
4.5,0.86,3.1,2.7,0.89,1.7,3.3,0.48,3.9,2.7,0.61,1.2,1.6,0.68,0.5,4.1,1
1.7,0.7,1.4,5.1,0.57,1.5,3.7,0.7,0.5,4.6,0.62,1.4,1.2,0.5,2.6,1.5,1
4.2,0.72,1.7,5.0,0.64,1.4,4.7,0.7,1.5,2.8,0.76,1.3,0.5,0.96,1.9,3.2,1
5.3,0.57,2.1,3.3,0.87,0.8,4.2,0.63,4.3,4.4,0.48,2.4,2.9,0.88,5.3,4.7,1
3.7,0.42,5.0,5.6,0.44,4.6,2.4,0.33,6.9,1.9,0.33,5.5,1.9,0.36,1.9,2.0,1
5.1,0.27,5.8,4.5,0.45,8.6,0.4,0.8,4.1,2.2,0.78,2.6,4.3,0.72,1.7,6.2,1
6.9,0.62,1.9,8.0,0.63,2.1,10.3,0.52,2.4,9.9,0.52,1.6,9.8,0.47,1.4,10.7,1
12.3,0.34,1.5,13.1,0.3,2.1,13.3,0.41,2.7,5.3,0.49,3.1,6.5,0.62,3.1,5.8,0
2.2,0.88,5.8,6.3,0.79,2.2,3.9,0.83,4.6,9.2,0.81,5.0,7.5,0.82,2.9,8.1,1
2.3,0.72,5.0,4.4,0.82,1.0,8.7,0.91,2.9,9.9,0.78,2.4,10.7,0.51,2.7,7.2,0
11.2,0.48,3.8,9.2,0.66,1.9,8.5,0.58,2.4,9.3,0.78,1.5,8.7,0.81,2.1,7.8,0
8.1,0.68,2.7,8.3,0.64,2.9,9.5,0.57,2.1,10.8,0.61,1.9,11.4,0.87,1.2,10.1,0
9.4,0.85,1.9,11.0,0.7,1.9,10.2,0.77,2.1,11.7,0.82,1.5,13.1,0.9,0.8,14.4,1
13.3,0.48,2.9,14.0,0.44,1.5,12.9,0.86,1.2,16.3,0.53,2.1,15.5,0.35,1.3,15.1,0
16.4,0.56,2.1,17.8,0.59,1.5,17.8,0.72,1.3,18.0,0.63,2.9,16.6,0.48,2.6,17.3,1
16.9,0.71,1.7,15.3,0.63,3.7,16.4,0.66,2.4,13.9,0.9,1.7,15.4,0.58,2.0,15.8,1
15.8,0.49,1.9,14.4,0.5,1.2,15.8,0.42,1.5,15.4,0.64,2.7,16.5,0.71,3.1,16.7,1
16.5,0.44,3.6,15.1,0.54,1.9,16.6,0.56,1.4,12.6,0.85,1.7,13.3,0.87,2.8,17.2,1
19.5,0.47,1.7,21.0,0.45,1.5,18.2,0.77,0.8,15.9,0.73,1.9,14.8,0.61,1.7,15.0,1
15.1,0.82,2.4,19.7,0.64,3.3,19.3,0.54,3.7,19.6,0.72,0.7,16.0,0.65,3.1,16.6,1
16.3,0.87,0.8,17.0,0.69,1.7,18.7,0.49,2.6,16.1,0.81,1.7,16.5,0.57,2.4,20.4,1
21.9,0.49,1.0,23.7,0.49,1.0,24.9,0.55,1.9,22.7,0.68,2.3,22.6,0.72,1.7,20.1,0
20.8,0.68,1.5,19.0,0.77,0.7,20.0,0.67,1.9,18.4,0.73,1.9,19.0,0.68,2.4,16.9,0
17.5,0.77,1.3,17.1,0.87,0.8,18.3,0.75,1.7,17.5,0.6,1.9,18.8,0.56,1.0,19.7,1
18.7,0.71,1.2,18.8,0.72,1.4,18.4,0.67,1.2,18.7,0.45,2.6,19.5,0.38,2.4,20.0,1
22.2,0.56,1.0,21.8,0.45,2.0,21.1,0.47,2.1,22.5,0.54,1.9,22.3,0.62,1.2,21.3,0
15.6,0.77,2.2,13.8,0.74,3.7,17.5,0.57,3.1,18.1,0.54,2.2,18.8,0.54,1.2,18.1,0
16.7,0.78,1.4,16.9,0.58,2.2,15.1,0.77,1.7,16.9,0.72,1.2,15.6,0.56,3.3,18.8,1
15.1,0.58,1.2,13.3,0.71,1.2,11.7,0.51,3.7,13.8,0.53,2.1,12.7,0.64,0.8,13.0,1
11.2,0.62,2.2,11.5,0.46,1.9,10.7,0.67,1.0,14.8,0.63,1.5,15.9,0.65,0.7,14.6,0
15.9,0.69,2.7,13.5,0.81,1.9,14.8,0.82,2.7,15.6,0.67,4.3,14.4,0.65,4.8,14.1,0
14.0,0.8,1.0,15.3,0.65,2.7,14.4,0.8,2.9,15.9,0.69,2.9,15.0,0.6,2.3,11.9,0
16.5,0.73,4.5,12.1,0.8,0.7,8.3,0.73,1.7,12.0,0.89,1.2,15.4,0.8,6.4,9.1,0
7.4,0.63,3.6,12.5,0.76,3.6,11.8,0.79,3.4,8.2,0.59,4.8,5.1,0.67,1.4,6.4,1
7.6,0.86,2.4,10.2,0.83,1.5,9.2,0.72,1.0,10.6,0.85,2.9,7.3,0.77,1.7,7.1,0
5.9,0.73,1.7,6.6,0.82,4.1,4.8,0.85,1.4,6.9,0.62,2.0,7.9,0.82,0.8,7.4,0
6.9,0.62,3.4,5.2,0.59,3.3,3.2,0.74,2.1,3.6,0.73,1.7,2.6,0.78,1.4,1.5,0
2.1,0.79,3.1,0.9,0.68,2.9,-0.2,0.7,2.2,-0.1,0.7,5.0,-1.8,0.69,1.7,-3.0,0
-1.7,0.76,1.3,2.7,0.46,4.0,0.2,0.6,1.9,3.0,0.8,2.1,8.2,0.62,2.9,3.7,0
1.4,0.85,3.3,2.3,0.86,5.2,2.9,0.87,5.6,4.8,0.87,1.9,8.3,0.87,2.8,4.0,0
6.5,0.9,1.0,7.3,0.84,3.2,4.9,0.82,1.5,4.0,0.79,3.1,3.8,0.75,4.3,3.5,0
3.2,0.85,2.1,2.9,0.85,1.5,1.6,0.88,1.2,2.2,0.91,1.5,3.3,0.85,2.8,3.6,1
2.0,0.84,1.9,-0.4,0.91,1.4,3.1,0.83,1.9,1.1,0.82,2.1,1.3,0.88,3.8,1.2,0
0.8,0.82,5.7,-3.0,0.89,1.4,-0.3,0.91,2.7,1.5,0.9,3.6,3.5,0.89,3.8,2.5,0
3.9,0.92,2.6,4.8,0.91,1.2,6.5,0.9,1.5,5.3,0.91,1.3,4.5,0.89,1.2,3.1,0
2.2,0.65,1.9,0.3,0.46,5.5,-1.0,0.69,1.2,2.1,0.79,1.0,-1.7,0.92,1.4,4.6,1
3.8,0.82,3.1,-1.3,0.57,1.9,0.7,0.91,2.4,2.0,0.73,2.7,1.5,0.43,8.1,-1.0,0
1.1,0.9,0.8,3.1,0.85,1.5,3.8,0.69,3.4,-1.5,0.72,3.3,-1.7,0.69,9.3,-5.9,0
-8.3,0.78,1.2,3.6,0.91,2.7,2.9,0.86,1.2,-0.4,0.9,2.4,4.2,0.85,5.0,0.3,0
-4.0,0.67,3.3,-8.8,0.8,1.5,-8.8,0.79,0.3,-7.3,0.82,3.3,-8.0,0.78,1.5,-5.7,1
-0.9,0.88,2.6,-2.2,0.86,1.3,-2.0,0.91,2.2,-2.6,0.86,2.6,-2.8,0.9,2.0,0.6,1
-2.8,0.8,1.7,0.0,0.91,2.8,0.4,0.94,0.7,1.4,0.91,1.5,1.1,0.84,2.5,-2.3,0
-8.9,0.82,3.4,-10.5,0.83,0.7,-8.9,0.87,1.0,-4.7,0.77,5.5,-7.9,0.72,4.6,-13.5,0
-10.7,0.82,1.3,-1.2,0.95,1.7,0.7,0.91,3.1,-2.8,0.89,1.7,-1.1,0.93,2.0,-2.6,0
-3.0,0.87,2.6,-2.6,0.83,5.7,-3.0,0.85,2.2,-4.6,0.87,1.2,-8.4,0.85,1.2,-2.0,1
1.4,0.95,1.7,5.1,0.75,2.7,2.5,0.82,1.4,1.4,0.9,1.9,-0.7,0.85,5.0,-2.4,0
-1.7,0.49,4.3,-5.4,0.72,1.7,-3.9,0.75,2.4,-1.3,0.86,1.0,-4.3,0.93,1.0,-1.3,1
1.0,0.74,1.4,0.6,0.85,1.2,3.3,0.63,3.4,1.5,0.55,3.4,-2.4,0.76,0.8,-4.5,0
-1.5,0.83,2.2,-1.0,0.67,6.7,-1.5,0.49,4.0,1.6,0.58,3.2,-2.2,0.65,2.1,-3.0,0
-2.4,0.7,3.3,-3.6,0.71,3.6,-6.5,0.74,1.5,-0.2,0.7,1.3,4.5,0.41,4.6,-2.6,0
-6.8,0.69,1.7,-5.0,0.78,2.9,-2.5,0.77,2.1,1.5,0.62,2.4,2.3,0.53,2.9,1.6,0
2.0,0.59,2.4,0.8,0.62,3.6,-2.0,0.71,4.6,-1.4,0.81,4.3,2.1,0.92,2.4,4.4,1
5.7,0.8,1.3,6.1,0.76,3.4,5.5,0.72,3.1,4.6,0.84,2.8,3.4,0.8,3.4,3.4,0
2.6,0.73,2.4,1.1,0.8,1.9,1.2,0.63,1.3,0.7,0.73,1.7,0.0,0.68,2.6,6.0,1
3.7,0.55,2.9,6.1,0.58,2.6,7.9,0.53,0.9,7.7,0.55,2.4,6.5,0.42,2.6,2.7,0
1.8,0.64,2.9,4.2,0.83,4.8,5.9,0.81,4.1,5.4,0.72,4.1,5.2,0.67,5.0,8.4,1
6.7,0.48,3.2,6.4,0.36,3.6,5.8,0.48,2.9,5.2,0.44,2.8,4.0,0.82,3.1,6.4,1
6.8,0.81,3.6,7.7,0.65,1.6,8.8,0.6,1.2,11.6,0.56,2.8,11.4,0.58,3.8,10.1,0
8.5,0.73,1.9,8.9,0.69,2.2,9.1,0.77,1.7,11.5,0.55,2.1,10.1,0.78,1.7,7.7,0
7.5,0.85,1.7,9.3,0.6,2.1,10.5,0.38,2.2,10.0,0.45,1.4,10.8,0.5,2.1,10.5,0
11.0,0.69,3.4,9.1,0.83,2.3,14.3,0.65,5.8,16.6,0.58,4.4,19.7,0.41,5.3,18.8,0
18.5,0.42,1.9,15.7,0.55,2.4,7.6,0.8,3.4,8.5,0.51,3.9,8.3,0.65,2.7,11.2,1
11.4,0.44,2.4,13.3,0.48,2.6,15.1,0.6,3.1,13.9,0.44,5.5,12.9,0.42,5.5,8.9,0
8.6,0.35,4.8,7.3,0.49,3.9,10.7,0.24,4.3,11.7,0.39,2.6,10.5,0.59,6.0,11.8,1
13.6,0.45,3.1,13.2,0.62,3.6,12.2,0.6,2.6,13.4,0.24,2.7,14.9,0.38,3.2,15.3,1
16.1,0.44,2.9,16.6,0.47,4.4,13.5,0.73,4.1,14.7,0.7,3.1,16.3,0.49,2.8,15.1,0
11.9,0.55,2.9,13.0,0.71,4.1,15.4,0.62,3.5,15.5,0.57,1.9,16.8,0.46,2.6,16.2,0
17.8,0.39,6.7,14.1,0.52,4.8,14.2,0.33,4.8,12.9,0.4,3.1,12.6,0.63,2.4,9.6,0
9.1,0.75,3.6,11.5,0.76,3.6,12.2,0.74,2.4,13.7,0.61,2.7,11.2,0.84,5.5,13.4,1
15.1,0.8,1.4,15.0,0.76,2.2,14.6,0.76,1.7,15.9,0.74,1.7,17.3,0.6,3.4,14.6,0
13.6,0.81,2.1,15.6,0.66,2.4,14.2,0.73,2.7,14.1,0.8,1.9,16.1,0.6,3.3,15.2,0
16.2,0.46,1.3,15.3,0.71,4.3,16.7,0.59,4.8,17.1,0.54,5.7,16.4,0.73,2.4,13.7,0
12.8,0.67,1.6,14.7,0.7,3.1,15.5,0.63,3.1,15.6,0.51,3.1,13.6,0.85,1.3,16.2,1
16.4,0.55,3.7,17.1,0.65,3.6,16.4,0.72,2.2,19.6,0.64,1.9,18.8,0.68,2.6,15.5,0
14.9,0.7,2.4,16.8,0.64,2.2,17.8,0.59,2.2,17.0,0.67,2.6,18.2,0.6,2.1,20.7,1
22.1,0.53,1.7,21.9,0.5,3.3,18.5,0.73,4.6,19.1,0.82,4.3,21.4,0.69,2.4,21.8,1
22.2,0.53,2.2,22.1,0.5,1.5,23.7,0.46,1.0,24.8,0.46,1.4,23.2,0.59,1.5,24.0,1
18.6,0.46,5.8,19.5,0.59,1.9,19.9,0.45,2.6,14.4,0.68,3.4,15.7,0.74,2.9,17.9,1
17.3,0.73,2.9,16.7,0.78,5.1,17.7,0.54,3.7,11.9,0.63,4.1,13.2,0.52,2.0,13.8,1
14.0,0.75,6.2,13.7,0.6,4.6,12.8,0.73,2.6,14.7,0.67,4.6,14.0,0.72,2.9,13.1,0
12.9,0.85,3.3,14.0,0.76,2.6,14.3,0.7,1.9,15.7,0.74,1.5,15.4,0.79,2.2,18.2,1
16.7,0.58,2.4,14.3,0.53,3.8,13.0,0.56,2.2,13.3,0.73,2.1,13.7,0.75,2.2,12.8,0
14.2,0.78,3.6,14.3,0.76,5.0,12.6,0.69,4.3,9.9,0.83,1.4,9.4,0.54,2.9,13.0,1
12.5,0.92,3.9,12.3,0.76,2.7,11.8,0.91,4.3,10.4,0.84,1.9,10.4,0.76,2.4,10.4,0
12.4,0.62,3.3,10.4,0.73,1.2,10.4,0.72,2.5,13.3,0.51,5.6,9.0,0.66,2.6,11.2,1
8.9,0.72,1.7,8.1,0.79,1.4,9.5,0.72,2.2,9.9,0.86,1.9,11.1,0.88,5.2,9.7,0
10.0,0.84,4.1,9.6,0.81,1.7,7.4,0.57,5.3,5.5,0.68,0.8,6.7,0.71,1.5,5.2,0
4.1,0.83,1.4,3.1,0.8,3.1,4.9,0.81,3.6,6.3,0.8,4.0,7.0,0.87,4.4,8.1,1
6.9,0.75,6.3,7.5,0.73,2.9,6.4,0.79,2.6,6.9,0.85,3.9,9.1,0.76,4.3,4.9,0
6.6,0.83,2.1,6.9,0.86,3.3,5.8,0.86,1.5,1.8,0.83,1.2,1.4,0.82,1.9,4.5,1
4.6,0.75,6.2,3.8,0.84,1.3,4.1,0.71,1.5,1.8,0.88,1.0,4.8,0.87,2.2,8.9,1
5.3,0.71,1.3,5.9,0.61,4.3,2.9,0.81,1.0,3.7,0.83,1.7,5.5,0.82,2.7,3.3,0
5.4,0.84,5.3,8.1,0.6,5.5,3.4,0.45,2.6,3.0,0.73,2.4,6.4,0.59,2.7,2.7,0
-1.1,0.69,2.6,-3.5,0.71,4.8,-5.8,0.78,1.7,-2.9,0.64,1.7,-5.2,0.79,1.5,-2.6,1
-1.1,0.65,3.9,-2.4,0.87,2.7,0.9,0.87,2.4,-1.1,0.87,4.6,-3.7,0.81,2.2,-3.8,0
-5.8,0.85,1.2,-2.0,0.93,1.2,-1.7,0.94,1.0,-3.3,0.88,2.8,0.0,0.87,1.7,1.1,1
5.8,0.75,2.9,1.8,0.75,0.3,4.0,0.66,2.0,0.4,0.68,1.5,-0.6,0.83,0.8,1.9,1
-0.9,0.88,1.2,1.3,0.79,0.5,-1.5,0.88,1.5,3.7,0.89,4.3,5.9,0.8,1.2,5.2,0
